event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market,spread_f1,spread_f2
2023-10-15 17:01:00,DraftKings,Cincinnati Bengals,Seattle Seahawks,-162,136,h2h,,
2023-10-15 17:01:00,DraftKings,Cincinnati Bengals,Seattle Seahawks,-108,-112,spreads,-3.0,3.0
2023-10-15 17:01:00,SuperBook,Cincinnati Bengals,Seattle Seahawks,-150,130,h2h,,
2023-10-15 17:01:00,SuperBook,Cincinnati Bengals,Seattle Seahawks,100,-120,spreads,-3.0,3.0
2023-10-15 17:01:00,Caesars,Cincinnati Bengals,Seattle Seahawks,-155,130,h2h,,
2023-10-15 17:01:00,Caesars,Cincinnati Bengals,Seattle Seahawks,-115,-105,spreads,-2.5,2.5
2023-10-15 17:01:00,LowVig.ag,Cincinnati Bengals,Seattle Seahawks,-147,127,h2h,,
2023-10-15 17:01:00,LowVig.ag,Cincinnati Bengals,Seattle Seahawks,-116,105,spreads,-2.5,2.5
2023-10-15 17:01:00,BetOnline.ag,Cincinnati Bengals,Seattle Seahawks,-147,127,h2h,,
2023-10-15 17:01:00,BetOnline.ag,Cincinnati Bengals,Seattle Seahawks,-120,100,spreads,-2.5,2.5
2023-10-15 17:01:00,Bovada,Cincinnati Bengals,Seattle Seahawks,-145,125,h2h,,
2023-10-15 17:01:00,Bovada,Cincinnati Bengals,Seattle Seahawks,-120,100,spreads,-2.5,2.5
2023-10-15 17:01:00,BetRivers,Cincinnati Bengals,Seattle Seahawks,-152,125,h2h,,
2023-10-15 17:01:00,BetRivers,Cincinnati Bengals,Seattle Seahawks,-117,-105,spreads,-2.5,2.5
2023-10-15 17:01:00,Unibet,Cincinnati Bengals,Seattle Seahawks,-152,125,h2h,,
2023-10-15 17:01:00,Unibet,Cincinnati Bengals,Seattle Seahawks,-117,-105,spreads,-2.5,2.5
2023-10-15 17:01:00,TwinSpires,Cincinnati Bengals,Seattle Seahawks,-152,125,h2h,,
2023-10-15 17:01:00,TwinSpires,Cincinnati Bengals,Seattle Seahawks,-117,-105,spreads,-2.5,2.5
2023-10-15 17:01:00,MyBookie.ag,Cincinnati Bengals,Seattle Seahawks,-162,132,h2h,,
2023-10-15 17:01:00,MyBookie.ag,Cincinnati Bengals,Seattle Seahawks,-105,-115,spreads,-3.0,3.0
2023-10-15 17:01:00,PointsBet (US),Cincinnati Bengals,Seattle Seahawks,-150,125,h2h,,
2023-10-15 17:01:00,PointsBet (US),Cincinnati Bengals,Seattle Seahawks,-105,-115,spreads,-3.0,3.0
2023-10-15 17:01:00,WynnBET,Cincinnati Bengals,Seattle Seahawks,-149,128,h2h,,
2023-10-15 17:01:00,WynnBET,Cincinnati Bengals,Seattle Seahawks,-115,-105,spreads,-2.5,2.5
2023-10-15 17:01:00,BetMGM,Cincinnati Bengals,Seattle Seahawks,-150,125,h2h,,
2023-10-15 17:01:00,BetMGM,Cincinnati Bengals,Seattle Seahawks,-115,-105,spreads,-2.5,2.5
2023-10-15 17:01:00,Barstool Sportsbook,Cincinnati Bengals,Seattle Seahawks,-150,130,h2h,,
2023-10-15 17:01:00,Barstool Sportsbook,Cincinnati Bengals,Seattle Seahawks,100,-120,spreads,-3.0,3.0
2023-10-15 17:01:00,FanDuel,Cleveland Browns,San Francisco 49ers,225,-275,h2h,,
2023-10-15 17:01:00,FanDuel,Cleveland Browns,San Francisco 49ers,-114,-106,spreads,6.5,-6.5
2023-10-15 17:01:00,BetUS,Cleveland Browns,San Francisco 49ers,240,-290,h2h,,
2023-10-15 17:01:00,BetUS,Cleveland Browns,San Francisco 49ers,-105,-115,spreads,6.5,-6.5
2023-10-15 17:01:00,DraftKings,Cleveland Browns,San Francisco 49ers,230,-285,h2h,,
2023-10-15 17:01:00,DraftKings,Cleveland Browns,San Francisco 49ers,-112,-108,spreads,6.5,-6.5
2023-10-15 17:01:00,SuperBook,Cleveland Browns,San Francisco 49ers,240,-300,h2h,,
2023-10-15 17:01:00,SuperBook,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,Caesars,Cleveland Browns,San Francisco 49ers,235,-292,h2h,,
2023-10-15 17:01:00,Caesars,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,LowVig.ag,Cleveland Browns,San Francisco 49ers,245,-290,h2h,,
2023-10-15 17:01:00,LowVig.ag,Cleveland Browns,San Francisco 49ers,-101,-109,spreads,6.5,-6.5
2023-10-15 17:01:00,BetOnline.ag,Cleveland Browns,San Francisco 49ers,245,-294,h2h,,
2023-10-15 17:01:00,BetOnline.ag,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,Bovada,Cleveland Browns,San Francisco 49ers,240,-290,h2h,,
2023-10-15 17:01:00,Bovada,Cleveland Browns,San Francisco 49ers,-105,-115,spreads,6.5,-6.5
2023-10-15 17:01:00,BetRivers,Cleveland Browns,San Francisco 49ers,230,-286,h2h,,
2023-10-15 17:01:00,BetRivers,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,Unibet,Cleveland Browns,San Francisco 49ers,230,-286,h2h,,
2023-10-15 17:01:00,Unibet,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,TwinSpires,Cleveland Browns,San Francisco 49ers,230,-286,h2h,,
2023-10-15 17:01:00,TwinSpires,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,MyBookie.ag,Cleveland Browns,San Francisco 49ers,230,-294,h2h,,
2023-10-15 17:01:00,MyBookie.ag,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,PointsBet (US),Cleveland Browns,San Francisco 49ers,240,-300,h2h,,
2023-10-15 17:01:00,PointsBet (US),Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,WynnBET,Cleveland Browns,San Francisco 49ers,243,-294,h2h,,
2023-10-15 17:01:00,WynnBET,Cleveland Browns,San Francisco 49ers,-105,-115,spreads,6.5,-6.5
2023-10-15 17:01:00,BetMGM,Cleveland Browns,San Francisco 49ers,225,-275,h2h,,
