event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market
2023-10-21 19:00:33,FanDuel,Jack Catterall,Jorge Linares,-850,520,h2h
2023-10-21 19:00:33,DraftKings,Jack Catterall,Jorge Linares,-900,550,h2h
2023-10-21 19:00:33,BetUS,Jack Catterall,Jorge Linares,-1000,600,h2h
2023-10-21 19:00:33,LowVig.ag,Jack Catterall,Jorge Linares,-800,500,h2h
2023-10-21 19:00:33,BetOnline.ag,Jack Catterall,Jorge Linares,-833,500,h2h
2023-10-21 19:00:33,Unibet,Jack Catterall,Jorge Linares,-910,550,h2h
2023-10-21 19:00:33,BetRivers,Jack Catterall,Jorge Linares,-910,550,h2h
2023-10-21 19:00:33,TwinSpires,Jack Catterall,Jorge Linares,-910,550,h2h
2023-10-21 19:00:33,Bovada,Jack Catterall,Jorge Linares,-900,500,h2h
2023-10-21 19:00:33,BetMGM,Jack Catterall,Jorge Linares,-700,500,h2h
2023-10-21 20:00:00,Bovada,Aqib Fiaz,Reece Bellotti,110,-145,h2h
2023-10-21 20:00:00,BetUS,Aqib Fiaz,Reece Bellotti,110,-140,h2h
2023-10-21 20:00:00,LowVig.ag,Aqib Fiaz,Reece Bellotti,110,-140,h2h
2023-10-21 20:00:00,BetOnline.ag,Aqib Fiaz,Reece Bellotti,110,-141,h2h
2023-10-21 20:00:00,DraftKings,Isaac Chamberlain,Mikael Lawal,-185,145,h2h
2023-10-21 20:00:00,BetUS,Isaac Chamberlain,Mikael Lawal,-200,165,h2h
2023-10-21 20:00:00,FanDuel,Isaac Chamberlain,Mikael Lawal,-220,170,h2h
2023-10-21 20:00:00,LowVig.ag,Isaac Chamberlain,Mikael Lawal,-200,160,h2h
2023-10-21 20:00:00,BetOnline.ag,Isaac Chamberlain,Mikael Lawal,-200,160,h2h
2023-10-21 20:00:00,Bovada,Isaac Chamberlain,Mikael Lawal,-200,150,h2h
2023-10-21 21:15:00,BetUS,Dan Azeez,Joshua Buatsi,245,-335,h2h
2023-10-21 21:15:00,DraftKings,Dan Azeez,Joshua Buatsi,240,-330,h2h
2023-10-21 21:15:00,Bovada,Dan Azeez,Joshua Buatsi,270,-375,h2h
2023-10-21 21:15:00,BetMGM,Dan Azeez,Joshua Buatsi,300,-400,h2h
2023-10-22 03:00:00,FanDuel,Alexis Rocha,Giovani Santillan,-750,460,h2h
2023-10-22 03:00:00,BetUS,Alexis Rocha,Giovani Santillan,-625,425,h2h
2023-10-22 03:00:00,Bovada,Alexis Rocha,Giovani Santillan,-650,400,h2h
2023-10-22 03:00:00,DraftKings,Alexis Rocha,Giovani Santillan,-575,390,h2h
2023-10-22 03:00:00,LowVig.ag,Alexis Rocha,Giovani Santillan,-599,400,h2h
2023-10-22 03:00:00,BetOnline.ag,Alexis Rocha,Giovani Santillan,-588,400,h2h
2023-10-28 02:00:00,FanDuel,Amanda Serrano,Danila Ramos,-1450,790,h2h
2023-10-28 02:00:00,DraftKings,Amanda Serrano,Danila Ramos,-1400,750,h2h
2023-10-28 18:00:00,BetUS,Carlos Takam,Martin Bakole,464,-714,h2h
2023-10-28 18:00:00,Bovada,Carlos Takam,Martin Bakole,425,-700,h2h
2023-10-28 18:00:00,MyBookie.ag,Carlos Takam,Martin Bakole,442,-833,h2h
2023-10-28 18:00:00,LowVig.ag,Carlos Takam,Martin Bakole,425,-649,h2h
2023-10-28 18:00:00,BetOnline.ag,Carlos Takam,Martin Bakole,425,-667,h2h
2023-10-28 18:00:00,BetUS,Joseph Parker,Simon Kean,-833,533,h2h
2023-10-28 18:00:00,Bovada,Joseph Parker,Simon Kean,-800,475,h2h
2023-10-28 18:00:00,MyBookie.ag,Joseph Parker,Simon Kean,-833,439,h2h
2023-10-28 18:00:00,LowVig.ag,Joseph Parker,Simon Kean,-800,500,h2h
2023-10-28 18:00:00,BetOnline.ag,Joseph Parker,Simon Kean,-833,500,h2h
2023-10-28 18:00:19,MyBookie.ag,Francis Ngannou,Tyson Fury,510,-1111,h2h
2023-10-28 18:00:19,BetUS,Francis Ngannou,Tyson Fury,600,-1000,h2h
2023-10-28 18:00:19,LowVig.ag,Francis Ngannou,Tyson Fury,600,-1000,h2h
2023-10-28 18:00:19,BetOnline.ag,Francis Ngannou,Tyson Fury,600,-1000,h2h
2023-10-28 18:00:19,Bovada,Francis Ngannou,Tyson Fury,700,-1200,h2h
2023-10-28 18:00:19,Unibet,Francis Ngannou,Tyson Fury,700,-1250,h2h
2023-10-28 18:00:19,TwinSpires,Francis Ngannou,Tyson Fury,700,-1250,h2h
2023-10-28 18:00:19,Barstool Sportsbook,Francis Ngannou,Tyson Fury,550,-1000,h2h
2023-10-28 20:00:00,BetUS,David Adeleye,Fabio Wardley,257,-357,h2h
2023-10-28 20:00:00,Bovada,David Adeleye,Fabio Wardley,250,-350,h2h
2023-10-28 20:00:00,LowVig.ag,David Adeleye,Fabio Wardley,240,-300,h2h
2023-10-28 20:00:00,BetOnline.ag,David Adeleye,Fabio Wardley,240,-303,h2h
2023-10-28 20:00:00,MyBookie.ag,David Adeleye,Fabio Wardley,244,-370,h2h
2023-10-29 04:00:00,BetUS,Eduardo Hernandez,O'Shaquie Foster,165,-200,h2h
2023-10-29 04:00:00,DraftKings,Eduardo Hernandez,O'Shaquie Foster,170,-220,h2h
2023-10-29 04:00:00,MyBookie.ag,Eduardo Hernandez,O'Shaquie Foster,160,-227,h2h
2023-10-29 04:00:00,FanDuel,Eduardo Hernandez,O'Shaquie Foster,182,-240,h2h
2023-10-29 04:00:00,Bovada,Eduardo Hernandez,O'Shaquie Foster,150,-200,h2h
2023-10-29 04:00:00,LowVig.ag,Eduardo Hernandez,O'Shaquie Foster,160,-200,h2h
2023-10-29 04:00:00,BetOnline.ag,Eduardo Hernandez,O'Shaquie Foster,160,-200,h2h
2023-10-29 04:00:00,Barstool Sportsbook,Eduardo Hernandez,O'Shaquie Foster,170,-220,h2h
2023-11-04 17:00:00,DraftKings,Isaias Lucero,Souleymane Cissokho,550,-1000,h2h
2023-11-04 17:00:00,BetUS,Isaias Lucero,Souleymane Cissokho,559,-909,h2h
2023-11-04 17:00:00,MyBookie.ag,Isaias Lucero,Souleymane Cissokho,503,-1111,h2h
2023-11-04 21:00:00,FanDuel,Adrian Curiel Dominguez,Sivenathi Nontshinga,480,-800,h2h
2023-11-04 21:00:00,BetUS,Adrian Curiel Dominguez,Sivenathi Nontshinga,533,-833,h2h
2023-11-04 21:00:00,DraftKings,Adrian Curiel Dominguez,Sivenathi Nontshinga,500,-800,h2h
2023-11-04 21:00:00,MyBookie.ag,Adrian Curiel Dominguez,Sivenathi Nontshinga,450,-909,h2h
2023-11-04 22:00:00,FanDuel,Edward Vazquez,Joe Cordina,690,-1300,h2h
2023-11-04 22:00:00,BetUS,Edward Vazquez,Joe Cordina,700,-1250,h2h
2023-11-04 22:00:00,DraftKings,Edward Vazquez,Joe Cordina,700,-1400,h2h
2023-11-04 22:00:00,MyBookie.ag,Edward Vazquez,Joe Cordina,617,-1666,h2h
2023-11-05 04:00:00,BetUS,Shohjahon Ergashev,Subriel Matias,335,-435,h2h
2023-11-05 04:00:00,MyBookie.ag,Shohjahon Ergashev,Subriel Matias,215,-322,h2h
2023-11-17 03:00:00,FanDuel,Emanuel Navarrete,Robson Conceicao,-1300,700,h2h
2023-11-17 03:00:00,BetUS,Emanuel Navarrete,Robson Conceicao,-1110,710,h2h
2023-11-17 03:00:00,DraftKings,Emanuel Navarrete,Robson Conceicao,-1100,600,h2h
2023-11-17 03:00:00,MyBookie.ag,Emanuel Navarrete,Robson Conceicao,-1250,551,h2h
2023-11-17 04:00:00,BetUS,Edwin De Los Santos,Shakur Stevenson,500,-800,h2h
2023-11-17 04:00:00,DraftKings,Edwin De Los Santos,Shakur Stevenson,600,-1100,h2h
2023-11-17 04:00:00,FanDuel,Edwin De Los Santos,Shakur Stevenson,540,-950,h2h
2023-11-17 04:00:00,MyBookie.ag,Edwin De Los Santos,Shakur Stevenson,554,-1250,h2h
2023-11-17 04:00:00,BetMGM,Edwin De Los Santos,Shakur Stevenson,700,-1400,h2h
2023-11-17 04:00:00,LowVig.ag,Edwin De Los Santos,Shakur Stevenson,500,-800,h2h
2023-11-17 04:00:00,BetOnline.ag,Edwin De Los Santos,Shakur Stevenson,500,-833,h2h
2023-11-17 04:00:00,Barstool Sportsbook,Edwin De Los Santos,Shakur Stevenson,550,-1000,h2h
2023-11-18 19:00:00,BetUS,Anthony Cacace,Ryan Garner,-200,165,h2h
2023-11-18 19:00:00,BetUS,Ekow Essuman,Harry Scarff,-303,228,h2h
2023-11-18 19:00:00,BetUS,Liam Davies,Vincenzo La Femina,-1250,700,h2h
2023-11-18 19:00:00,BetUS,Nathaniel Collins,Zak Miller,-1250,700,h2h
2023-11-18 21:00:00,BetUS,Denzel Bentley,Nathan Heaney,-833,533,h2h
2023-11-18 21:00:00,BetUS,Matteo Signani,Tyler Denny,300,-400,h2h
2023-11-18 21:00:00,DraftKings,Matteo Signani,Tyler Denny,200,-260,h2h
