FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attempts_fighter,TOTAL STR._landed_fighter,TOTAL STR._attempts_fighter,TD_landed_fighter,TD_attempts_fighter,HEAD_landed_fighter,HEAD_attempts_fighter,BODY_landed_fighter,BODY_attempts_fighter,LEG_landed_fighter,LEG_attempts_fighter,DISTANCE_landed_fighter,DISTANCE_attempts_fighter,CLINCH_landed_fighter,CLINCH_attempts_fighter,GROUND_landed_fighter,GROUND_attempts_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attempts_opponent,TOTAL STR._landed_opponent,TOTAL STR._attempts_opponent,TD_landed_opponent,TD_attempts_opponent,HEAD_landed_opponent,HEAD_attempts_opponent,BODY_landed_opponent,BODY_attempts_opponent,LEG_landed_opponent,LEG_attempts_opponent,DISTANCE_landed_opponent,DISTANCE_attempts_opponent,CLINCH_landed_opponent,CLINCH_attempts_opponent,GROUND_landed_opponent,GROUND_attempts_opponent,form_score_fighter
Drako Rodriguez,68.0,135.0,69.0,Orthodox,2,0,0,2,0,1085,0.0,0.0,0.0,74,66,184,73,191,3,5,51,165,3,5,12,14,57,173,8,10,1,1,1.0,0.0,0.0,50.0,85.0,207.0,93.0,215.0,1.0,4.0,54.0,160.0,27.0,41.0,4.0,6.0,75.0,190.0,8.0,14.0,2.0,3.0,0.0
Drew Dober,68.0,155.0,70.0,Southpaw,25,13,0,11,1,12809,9.0,1.0,1.0,1777,945,2345,1175,2604,9,56,600,1876,221,315,124,154,744,2050,109,171,92,124,2.0,7.0,2.0,2927.0,912.0,1890.0,1311.0,2338.0,28.0,64.0,643.0,1540.0,203.0,272.0,66.0,78.0,734.0,1645.0,92.0,128.0,86.0,117.0,0.21
Drew Fickett,70.0,155.0,70.0,Orthodox,7,4,0,3,0,3790,1.0,8.0,1.0,706,155,373,310,552,6,16,74,271,54,65,27,37,57,199,50,73,48,101,0.0,2.0,1.0,1828.0,141.0,335.0,473.0,697.0,16.0,23.0,116.0,307.0,15.0,17.0,10.0,11.0,63.0,193.0,32.0,58.0,46.0,84.0,1.39
Drew McFedries,72.0,185.0,72.0,Southpaw,9,4,0,5,0,1264,6.0,1.0,0.0,62,108,211,124,227,2,2,84,182,13,15,11,14,57,139,26,40,25,32,1.0,4.0,0.0,447.0,96.0,202.0,132.0,244.0,7.0,16.0,77.0,175.0,11.0,18.0,8.0,9.0,52.0,135.0,31.0,49.0,13.0,18.0,0.67
Dricus Du Plessis,73.0,185.0,76.0,Switch,8,8,0,0,0,5926,4.0,6.0,1.0,996,610,1235,689,1340,20,40,397,955,90,115,123,165,478,1052,61,87,71,96,0.0,1.0,3.0,338.0,479.0,1060.0,543.0,1127.0,3.0,6.0,365.0,914.0,80.0,109.0,34.0,37.0,444.0,1013.0,24.0,30.0,11.0,17.0,4.7
Duane Ludwig,70.0,170.0,70.0,Orthodox,9,4,0,5,0,3464,1.0,0.0,0.0,444,307,743,361,809,1,6,183,566,99,145,25,32,210,605,79,112,18,26,4.0,2.0,0.0,1012.0,216.0,517.0,284.0,596.0,9.0,28.0,115.0,360.0,38.0,81.0,63.0,76.0,166.0,419.0,19.0,31.0,31.0,67.0,0.33
Duda Santana,67.0,145.0,73.0,Orthodox,1,0,0,1,0,419,0.0,0.0,0.0,155,42,106,48,112,3,5,36,90,2,10,4,6,40,102,0,2,2,2,0.0,2.0,0.0,69.0,19.0,71.0,30.0,82.0,0.0,0.0,12.0,63.0,5.0,6.0,2.0,2.0,18.0,69.0,0.0,0.0,1.0,2.0,0.0
Dusko Todorovic,73.0,185.0,74.0,Orthodox,7,3,0,4,0,2849,0.0,0.0,0.0,725,244,457,367,601,4,18,185,391,44,50,15,16,116,285,63,74,65,98,3.0,3.0,0.0,532.0,175.0,358.0,238.0,425.0,6.0,11.0,110.0,275.0,49.0,64.0,16.0,19.0,126.0,291.0,33.0,43.0,16.0,24.0,1.0
Dustin Hazelett,73.0,170.0,76.0,Orthodox,10,5,0,5,0,3264,0.0,15.0,1.0,345,122,302,170,353,2,4,89,253,22,33,11,16,80,222,13,19,29,61,3.0,2.0,0.0,1419.0,191.0,360.0,326.0,498.0,12.0,16.0,118.0,266.0,50.0,61.0,23.0,33.0,89.0,216.0,38.0,57.0,64.0,87.0,0.5
Dustin Jacoby,75.0,205.0,76.0,Orthodox,14,7,0,7,0,8605,4.0,0.0,0.0,687,797,1754,907,1879,3,15,535,1412,116,169,146,173,734,1660,55,76,8,18,6.0,2.0,0.0,903.0,639.0,1515.0,789.0,1688.0,17.0,36.0,443.0,1265.0,81.0,121.0,115.0,129.0,558.0,1394.0,45.0,67.0,36.0,54.0,0.31
