FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attempts_fighter,TOTAL STR._landed_fighter,TOTAL STR._attempts_fighter,TD_landed_fighter,TD_attempts_fighter,HEAD_landed_fighter,HEAD_attempts_fighter,BODY_landed_fighter,BODY_attempts_fighter,LEG_landed_fighter,LEG_attempts_fighter,DISTANCE_landed_fighter,DISTANCE_attempts_fighter,CLINCH_landed_fighter,CLINCH_attempts_fighter,GROUND_landed_fighter,GROUND_attempts_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attempts_opponent,TOTAL STR._landed_opponent,TOTAL STR._attempts_opponent,TD_landed_opponent,TD_attempts_opponent,HEAD_landed_opponent,HEAD_attempts_opponent,BODY_landed_opponent,BODY_attempts_opponent,LEG_landed_opponent,LEG_attempts_opponent,DISTANCE_landed_opponent,DISTANCE_attempts_opponent,CLINCH_landed_opponent,CLINCH_attempts_opponent,GROUND_landed_opponent,GROUND_attempts_opponent,form_score_fighter
Jocelyn Jones-Lybarger,67.0,115.0,64.0,Orthodox,3,0,0,3,0,2619,0.0,0.0,0.0,254,129,414,182,475,1,4,90,357,17,31,22,26,116,393,10,18,3,3,0.0,3.0,0.0,965.0,211.0,482.0,331.0,631.0,2.0,11.0,181.0,428.0,18.0,32.0,12.0,22.0,144.0,390.0,32.0,46.0,35.0,46.0,0.0
Jodie Esquibel,61.0,115.0,64.0,Orthodox,4,0,0,4,0,3600,0.0,0.0,0.0,377,246,784,273,812,3,14,160,621,73,148,13,15,216,735,24,42,6,7,0.0,1.0,0.0,120.0,442.0,932.0,510.0,1001.0,2.0,12.0,300.0,752.0,102.0,133.0,40.0,47.0,344.0,811.0,90.0,112.0,8.0,9.0,0.0
Joe Brammer,68.0,155.0,72.0,Orthodox,2,0,0,2,0,1116,0.0,0.0,0.0,38,40,126,56,143,1,2,20,87,14,23,6,16,32,108,8,18,0,0,0.0,1.0,0.0,439.0,52.0,120.0,139.0,210.0,5.0,10.0,18.0,79.0,15.0,19.0,19.0,22.0,28.0,91.0,21.0,25.0,3.0,4.0,0.0
Joe Charles,73.0,260.0,72.0,Southpaw,2,0,0,2,0,341,0.0,0.0,1.0,0,2,2,2,3,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0.0,4.0,0.0,0.0,2.0,4.0,12.0,19.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Joe Doerksen,72.0,185.0,75.0,Orthodox,9,2,0,7,0,5530,1.0,14.0,3.0,1100,119,275,371,544,12,35,77,220,27,37,15,18,88,212,17,36,14,27,4.0,11.0,6.0,3006.0,258.0,487.0,517.0,793.0,19.0,24.0,199.0,421.0,39.0,45.0,20.0,21.0,99.0,235.0,39.0,57.0,120.0,195.0,0.36
Joe Duffy,70.0,155.0,73.0,Orthodox,8,4,0,4,0,3761,2.0,3.0,1.0,358,168,489,213,537,4,6,110,411,35,52,23,26,143,451,13,20,12,18,2.0,1.0,0.0,957.0,237.0,522.0,283.0,574.0,9.0,25.0,137.0,387.0,50.0,71.0,50.0,64.0,173.0,426.0,30.0,45.0,34.0,51.0,0.41
Joe Ellenberger,69.0,155.0,72.0,Orthodox,2,1,0,1,0,1704,0.0,2.0,0.0,527,46,97,85,144,6,15,30,79,12,14,4,4,18,53,14,26,14,18,2.0,0.0,0.0,447.0,98.0,189.0,225.0,335.0,0.0,0.0,81.0,169.0,11.0,11.0,6.0,9.0,43.0,98.0,11.0,24.0,44.0,67.0,0.33
Joe Giannetti,72.0,155.0,74.0,Southpaw,1,0,0,1,0,900,0.0,0.0,0.0,171,29,75,61,108,1,6,3,43,11,17,15,15,27,69,2,4,0,2,0.0,1.0,0.0,339.0,42.0,71.0,86.0,116.0,0.0,0.0,9.0,26.0,7.0,18.0,26.0,27.0,40.0,67.0,0.0,0.0,2.0,4.0,0.0
Joe Jordan,66.0,155.0,72.0,Orthodox,1,0,0,1,0,647,0.0,0.0,0.0,67,20,78,31,89,0,0,6,62,0,1,14,15,12,67,6,7,2,4,0.0,1.0,0.0,82.0,46.0,113.0,71.0,138.0,3.0,9.0,33.0,99.0,8.0,8.0,5.0,6.0,38.0,100.0,7.0,11.0,1.0,2.0,0.0
Joe Lauzon,70.0,155.0,71.0,Orthodox,27,15,0,12,0,12781,3.0,29.0,8.0,3107,605,1525,858,1799,34,75,537,1436,56,71,12,18,326,1161,99,144,180,220,6.0,6.0,5.0,2299.0,1148.0,2536.0,1422.0,2858.0,19.0,42.0,792.0,2089.0,260.0,334.0,96.0,113.0,828.0,2022.0,204.0,312.0,116.0,202.0,1.05
Joe Merritt,72.0,170.0,72.0,Orthodox,1,0,0,1,0,900,0.0,0.0,3.0,150,23,39,34,50,0,2,16,30,3,4,4,5,4,18,8,8,11,13,0.0,2.0,0.0,623.0,11.0,33.0,33.0,60.0,5.0,16.0,7.0,25.0,0.0,2.0,4.0,6.0,5.0,21.0,4.0,8.0,2.0,4.0,0.0
Joe Moreira,71.0,195.0,72.0,Southpaw,2,1,0,1,0,1500,0.0,0.0,0.0,0,19,37,88,108,3,6,12,22,2,2,5,13,9,18,3,11,7,8,0.0,0.0,0.0,0.0,10.0,43.0,134.0,182.0,0.0,0.0,6.0,37.0,0.0,1.0,4.0,5.0,7.0,33.0,3.0,10.0,0.0,0.0,0.5
Joe Pardo,73.0,210.0,72.0,Southpaw,1,0,0,1,0,661,0.0,1.0,0.0,0,4,11,10,17,0,5,2,7,2,4,0,0,3,10,1,1,0,0,0.0,1.0,0.0,0.0,27.0,72.0,48.0,94.0,1.0,1.0,15.0,55.0,8.0,10.0,4.0,7.0,9.0,35.0,1.0,4.0,17.0,33.0,0.0
Joe Proctor,70.0,155.0,72.0,Orthodox,8,4,0,4,0,3925,2.0,8.0,0.0,228,222,608,251,642,0,0,152,510,33,50,37,48,183,546,30,50,9,12,4.0,2.0,0.0,881.0,257.0,641.0,355.0,761.0,8.0,27.0,164.0,478.0,53.0,100.0,40.0,63.0,179.0,515.0,55.0,90.0,23.0,36.0,0.56
Joe Pyfer,74.0,185.0,75.0,Orthodox,5,4,0,1,0,2440,2.0,2.0,0.0,136,154,391,157,396,3,10,93,306,44,58,17,27,142,374,2,2,10,15,0.0,1.0,0.0,196.0,153.0,319.0,220.0,411.0,1.0,2.0,83.0,223.0,21.0,33.0,49.0,63.0,143.0,302.0,5.0,7.0,5.0,10.0,2.5
Joe Riggs,72.0,185.0,70.0,Southpaw,12,5,0,7,0,4005,1.0,2.0,2.0,1328,165,325,249,413,13,21,136,288,19,26,10,11,62,150,37,62,66,113,4.0,6.0,4.0,1016.0,128.0,269.0,392.0,563.0,7.0,25.0,77.0,192.0,30.0,47.0,21.0,30.0,59.0,173.0,47.0,66.0,22.0,30.0,0.07
Joe Slick,72.0,199.0,72.0,Orthodox,2,1,0,1,0,802,0.0,4.0,1.0,168,10,18,23,31,1,2,7,15,3,3,0,0,2,8,2,2,6,8,0.0,0.0,0.0,456.0,4.0,20.0,28.0,48.0,3.0,8.0,4.0,20.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,1.0,1.0,1.0,0.47
Joe Solecki,69.0,155.0,70.0,Orthodox,8,5,0,3,0,5427,0.0,8.0,0.0,2721,174,311,552,767,13,29,145,278,14,18,15,15,97,216,13,18,64,77,1.0,0.0,3.0,1597.0,165.0,316.0,378.0,569.0,4.0,5.0,109.0,241.0,36.0,49.0,20.0,26.0,89.0,219.0,23.0,24.0,53.0,73.0,0.62
Joe Son,64.0,236.0,72.0,Orthodox,1,0,0,1,0,164,0.0,1.0,0.0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,8.0,14.0,10.0,16.0,0.0,0.0,1.0,5.0,0.0,1.0,7.0,8.0,2.0,7.0,0.0,0.0,6.0,7.0,0.0
Joe Soto,66.0,135.0,65.0,Orthodox,8,3,0,5,0,4249,0.0,9.0,0.0,448,238,570,326,678,4,19,195,505,17,23,26,42,211,536,3,9,24,25,4.0,1.0,0.0,500.0,380.0,1154.0,406.0,1184.0,6.0,20.0,294.0,1037.0,56.0,80.0,30.0,37.0,338.0,1082.0,20.0,38.0,22.0,34.0,1.07
Joe Stevenson,67.0,145.0,70.0,Orthodox,16,8,0,8,0,9873,1.0,24.0,5.0,3149,307,731,561,1026,31,67,225,619,44,67,38,45,142,482,35,54,130,195,5.0,16.0,5.0,2800.0,432.0,1090.0,742.0,1430.0,23.0,39.0,348.0,981.0,63.0,83.0,21.0,26.0,304.0,865.0,26.0,55.0,102.0,170.0,0.18
Joe Vedepo,72.0,185.0,72.0,Orthodox,2,0,0,2,0,201,0.0,0.0,0.0,86,11,21,20,30,1,4,9,18,2,3,0,0,3,11,8,10,0,0,1.0,2.0,0.0,10.0,14.0,25.0,20.0,31.0,0.0,0.0,8.0,18.0,4.0,5.0,2.0,2.0,8.0,16.0,5.0,8.0,1.0,1.0,0.0
Joe Veres,67.0,155.0,72.0,Orthodox,2,0,0,2,0,346,0.0,0.0,0.0,19,0,10,0,10,0,10,0,9,0,0,0,1,0,10,0,0,0,0,1.0,0.0,0.0,207.0,32.0,44.0,69.0,82.0,0.0,0.0,22.0,34.0,10.0,10.0,0.0,0.0,6.0,13.0,4.0,5.0,22.0,26.0,0.0
Joel Alvarez,75.0,155.0,77.0,Orthodox,8,6,0,2,0,3647,1.0,5.0,1.0,156,267,510,402,658,0,2,169,388,59,77,39,45,211,439,36,46,20,25,0.0,0.0,0.0,967.0,204.0,417.0,327.0,564.0,8.0,14.0,101.0,266.0,53.0,89.0,50.0,62.0,167.0,365.0,0.0,1.0,37.0,51.0,3.0
Joey Beltran,73.0,185.0,75.0,Orthodox,10,3,0,6,1,7641,0.0,0.0,1.0,2090,583,1572,1052,2109,5,27,399,1335,105,145,79,92,353,1264,187,252,43,56,3.0,1.0,0.0,1074.0,660.0,1332.0,889.0,1592.0,10.0,36.0,467.0,1099.0,99.0,129.0,94.0,104.0,521.0,1136.0,102.0,145.0,37.0,51.0,0.0
Joey Gambino,67.0,145.0,72.0,Orthodox,2,0,0,2,0,1067,0.0,1.0,0.0,62,44,124,64,144,0,6,24,100,10,13,10,11,37,114,3,5,4,5,1.0,1.0,0.0,401.0,45.0,93.0,111.0,165.0,4.0,7.0,31.0,73.0,7.0,11.0,7.0,9.0,22.0,61.0,9.0,11.0,14.0,21.0,0.0
Joey Gilbert,71.0,155.0,72.0,Orthodox,1,0,0,1,0,297,0.0,0.0,0.0,6,3,7,11,15,0,1,0,4,2,2,1,1,1,5,2,2,0,0,0.0,0.0,0.0,270.0,22.0,32.0,76.0,86.0,2.0,2.0,18.0,28.0,4.0,4.0,0.0,0.0,3.0,8.0,3.0,3.0,16.0,21.0,0.0
Joey Gomez,70.0,135.0,73.0,Orthodox,2,0,0,2,0,1453,1.0,0.0,0.0,40,59,207,85,234,1,1,36,170,9,21,14,16,47,184,12,20,0,3,3.0,0.0,0.0,343.0,108.0,241.0,132.0,274.0,6.0,12.0,68.0,179.0,32.0,51.0,8.0,11.0,82.0,198.0,18.0,26.0,8.0,17.0,0.0
Joey Roberts,74.0,200.0,72.0,Orthodox,1,0,0,1,0,601,0.0,2.0,1.0,0,17,42,33,60,1,2,14,38,3,4,0,0,0,8,2,4,15,30,0.0,0.0,1.0,0.0,9.0,19.0,14.0,26.0,1.0,1.0,6.0,15.0,2.0,3.0,1.0,1.0,3.0,6.0,4.0,10.0,2.0,3.0,0.0
John Albert,68.0,135.0,68.0,Orthodox,5,1,0,4,0,1320,1.0,9.0,1.0,207,67,135,117,189,0,3,44,103,16,25,7,7,34,91,15,20,18,24,0.0,8.0,1.0,892.0,62.0,96.0,140.0,190.0,2.0,4.0,40.0,70.0,15.0,18.0,7.0,8.0,22.0,47.0,2.0,5.0,38.0,44.0,0.18
John Alessio,70.0,155.0,72.0,Orthodox,5,0,0,5,0,4003,0.0,3.0,1.0,389,99,331,195,434,2,11,80,303,11,20,8,8,82,299,15,28,2,4,0.0,1.0,0.0,1704.0,186.0,403.0,352.0,585.0,11.0,36.0,114.0,310.0,17.0,27.0,55.0,66.0,92.0,285.0,36.0,46.0,58.0,72.0,0.0
John Allan,73.0,205.0,75.0,Orthodox,3,0,0,2,1,2700,0.0,3.0,0.0,245,161,403,201,461,5,7,96,319,26,41,39,43,135,362,11,21,15,20,0.0,3.0,0.0,594.0,274.0,591.0,366.0,712.0,3.0,5.0,170.0,456.0,58.0,84.0,46.0,51.0,266.0,573.0,4.0,6.0,4.0,12.0,0.0
John Campetella,69.0,235.0,72.0,Orthodox,1,0,0,1,0,88,0.0,0.0,0.0,0,5,7,8,10,0,1,3,4,1,2,1,1,0,0,5,7,0,0,0.0,0.0,1.0,0.0,5.0,6.0,6.0,7.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0
John Castaneda,66.0,135.0,71.0,Switch,7,4,0,3,0,5150,4.0,1.0,0.0,770,423,830,502,919,10,27,246,595,67,101,110,134,380,774,23,31,20,25,2.0,0.0,0.0,285.0,498.0,1047.0,540.0,1112.0,4.0,15.0,323.0,816.0,86.0,121.0,89.0,110.0,435.0,957.0,60.0,84.0,3.0,6.0,1.09
John Cholish,71.0,155.0,74.0,Orthodox,3,1,0,2,0,1930,0.0,0.0,2.0,231,93,190,109,207,2,13,64,152,8,16,21,22,71,159,5,9,17,22,0.0,1.0,0.0,278.0,90.0,334.0,110.0,355.0,3.0,10.0,54.0,288.0,16.0,22.0,20.0,24.0,59.0,290.0,27.0,37.0,4.0,7.0,0.4
John Cofer,69.0,155.0,72.0,Southpaw,2,0,0,2,0,1470,0.0,0.0,3.0,234,67,160,96,194,2,4,39,123,20,27,8,10,51,137,12,19,4,4,1.0,1.0,0.0,405.0,84.0,222.0,126.0,274.0,5.0,14.0,59.0,188.0,13.0,19.0,12.0,15.0,65.0,192.0,15.0,20.0,4.0,10.0,0.0
John Dodson,63.0,135.0,66.0,Orthodox,17,10,0,7,0,13895,11.0,0.0,0.0,690,742,1822,862,1950,11,38,414,1412,223,293,105,117,631,1664,84,123,27,35,0.0,1.0,0.0,1149.0,828.0,2154.0,1049.0,2390.0,16.0,90.0,471.0,1568.0,197.0,361.0,160.0,225.0,640.0,1907.0,178.0,235.0,10.0,12.0,0.61
John Dowdy,70.3,168.0,72.0,Orthodox,1,0,0,1,0,122,0.0,0.0,0.0,0,0,4,2,7,0,0,0,0,0,2,0,2,0,4,0,0,0,0,1.0,0.0,0.0,0.0,12.0,17.0,15.0,20.0,0.0,0.0,10.0,15.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,8.0,10.0,0.0
John Gunderson,69.0,155.0,69.0,Orthodox,3,1,0,2,0,2700,0.0,6.0,0.0,821,47,171,127,258,5,15,30,147,10,12,7,12,20,121,4,10,23,40,0.0,8.0,1.0,1221.0,77.0,186.0,158.0,279.0,8.0,9.0,60.0,161.0,10.0,14.0,7.0,11.0,24.0,93.0,5.0,10.0,48.0,83.0,0.33
John Gunther,69.0,155.0,72.0,Orthodox,2,1,0,1,0,1017,0.0,0.0,0.0,668,28,74,95,156,8,19,22,63,2,6,4,5,21,65,5,7,2,2,0.0,2.0,0.0,105.0,63.0,117.0,97.0,152.0,1.0,1.0,36.0,82.0,19.0,25.0,8.0,10.0,44.0,97.0,14.0,15.0,5.0,5.0,0.33
John Halverson,69.0,155.0,72.0,Southpaw,2,0,0,2,0,919,0.0,2.0,0.0,61,45,104,119,182,0,0,29,87,12,12,4,5,29,79,13,17,3,8,0.0,0.0,0.0,533.0,81.0,155.0,131.0,210.0,2.0,6.0,56.0,129.0,2.0,2.0,23.0,24.0,26.0,64.0,9.0,11.0,46.0,80.0,0.0
John Hathaway,73.0,170.0,75.0,Orthodox,9,7,0,2,0,7238,2.0,7.0,1.0,2775,410,1013,1062,1780,21,48,274,829,86,128,50,56,209,662,50,79,151,272,2.0,7.0,4.0,1603.0,217.0,571.0,473.0,853.0,16.0,41.0,137.0,467.0,48.0,66.0,32.0,38.0,125.0,427.0,37.0,59.0,55.0,85.0,1.2
John Howard,67.0,170.0,72.0,Orthodox,14,7,0,7,0,10315,2.0,5.0,3.0,2710,369,727,824,1224,31,63,175,483,68,96,126,148,222,494,99,167,48,66,3.0,10.0,8.0,3086.0,529.0,1084.0,949.0,1568.0,25.0,54.0,262.0,742.0,152.0,198.0,115.0,144.0,311.0,772.0,128.0,175.0,90.0,137.0,0.33
John Kolosci,71.0,185.0,72.0,Orthodox,1,0,0,1,0,282,0.0,0.0,0.0,202,1,5,12,23,0,2,1,5,0,0,0,0,0,3,0,0,1,2,0.0,5.0,0.0,60.0,4.0,8.0,19.0,23.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0
John Lewis,72.0,155.0,72.0,Southpaw,2,1,0,1,0,628,0.0,0.0,0.0,200,20,62,34,78,1,1,18,59,2,3,0,0,11,47,9,15,0,0,1.0,0.0,0.0,3.0,10.0,36.0,18.0,44.0,0.0,1.0,7.0,31.0,3.0,4.0,0.0,1.0,10.0,32.0,0.0,4.0,0.0,0.0,0.53
John Lineker,63.0,135.0,67.0,Orthodox,16,12,0,4,0,11300,12.0,8.0,1.0,663,1010,2514,1155,2674,7,12,562,1747,360,632,88,135,833,2199,78,159,99,156,0.0,4.0,0.0,1493.0,805.0,1835.0,1040.0,2116.0,19.0,59.0,525.0,1434.0,151.0,244.0,129.0,157.0,666.0,1612.0,48.0,92.0,91.0,131.0,1.09
John Lober,71.0,199.0,72.0,Orthodox,1,0,0,1,0,460,0.0,1.0,0.0,0,4,11,11,18,3,4,3,10,0,0,1,1,1,8,0,0,3,3,2.0,4.0,2.0,0.0,23.0,33.0,55.0,67.0,0.0,0.0,5.0,12.0,8.0,10.0,10.0,11.0,8.0,12.0,7.0,10.0,8.0,11.0,0.0
John Maguire,69.0,155.0,69.0,Southpaw,5,2,0,3,0,4180,0.0,5.0,1.0,1464,98,236,240,391,13,28,74,208,12,14,12,14,64,193,15,19,19,24,1.0,2.0,2.0,809.0,170.0,492.0,396.0,745.0,2.0,9.0,79.0,347.0,32.0,62.0,59.0,83.0,101.0,379.0,40.0,53.0,29.0,60.0,0.41
John Makdessi,68.0,155.0,68.0,Orthodox,20,11,0,9,0,14563,6.0,0.0,0.0,229,1340,2690,1438,2812,0,4,678,1707,325,567,337,416,1249,2520,64,115,27,55,4.0,1.0,0.0,569.0,1008.0,3154.0,1052.0,3203.0,7.0,51.0,572.0,2497.0,204.0,363.0,232.0,294.0,942.0,3050.0,41.0,66.0,25.0,38.0,0.37
John Marsh,72.0,265.0,72.0,Orthodox,1,0,0,1,0,900,1.0,1.0,0.0,161,18,35,40,58,1,1,8,23,6,8,4,4,5,15,9,13,4,7,0.0,0.0,1.0,446.0,34.0,60.0,85.0,117.0,1.0,4.0,14.0,39.0,20.0,21.0,0.0,0.0,2.0,21.0,1.0,2.0,31.0,37.0,0.0
John Matua,74.0,400.0,72.0,Orthodox,1,0,0,1,0,20,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,7.0,12.0,7.0,12.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,5.0,0.0
John Moraga,66.0,125.0,66.0,Orthodox,14,8,0,6,0,10099,2.0,12.0,3.0,1470,433,995,610,1199,7,30,242,719,109,170,82,106,254,769,82,113,97,113,4.0,5.0,0.0,3222.0,429.0,985.0,679.0,1285.0,36.0,65.0,220.0,707.0,99.0,147.0,110.0,131.0,278.0,778.0,52.0,81.0,99.0,126.0,1.33
John Phillips,71.0,185.0,75.0,Southpaw,6,1,0,5,0,3272,2.0,0.0,1.0,87,94,274,109,293,0,0,42,198,27,47,25,29,81,245,10,21,3,8,0.0,4.0,0.0,1580.0,220.0,434.0,615.0,927.0,12.0,13.0,156.0,357.0,44.0,54.0,20.0,23.0,131.0,317.0,11.0,12.0,78.0,105.0,0.31
John Polakowski,70.0,155.0,72.0,Orthodox,1,0,0,1,0,438,0.0,1.0,0.0,21,1,23,4,28,0,0,1,22,0,1,0,0,1,23,0,0,0,0,1.0,3.0,0.0,246.0,15.0,27.0,44.0,59.0,1.0,4.0,8.0,16.0,7.0,10.0,0.0,1.0,9.0,18.0,0.0,0.0,6.0,9.0,0.0
John Salter,73.0,185.0,74.0,Southpaw,3,1,0,2,0,1379,0.0,0.0,0.0,259,31,131,63,169,4,10,27,125,3,3,1,3,25,120,5,10,1,1,0.0,2.0,1.0,140.0,49.0,162.0,67.0,182.0,1.0,3.0,37.0,146.0,6.0,10.0,6.0,6.0,38.0,139.0,4.0,5.0,7.0,18.0,0.0
John Teixeira,67.0,145.0,72.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,106,52,140,59,147,1,6,19,98,19,25,14,17,39,123,13,17,0,0,0.0,0.0,0.0,74.0,65.0,141.0,78.0,157.0,0.0,0.0,31.0,98.0,29.0,38.0,5.0,5.0,60.0,127.0,5.0,12.0,0.0,2.0,0.0
Johnny Bedford,70.0,135.0,71.0,Orthodox,6,2,0,3,1,2463,3.0,0.0,1.0,1054,186,368,289,492,5,8,120,288,56,68,10,12,79,218,31,40,76,110,1.0,4.0,0.0,464.0,72.0,196.0,170.0,306.0,6.0,16.0,53.0,162.0,9.0,19.0,10.0,15.0,63.0,179.0,8.0,15.0,1.0,2.0,0.14
Johnny Case,70.0,155.0,72.0,Orthodox,6,4,0,2,0,4753,2.0,1.0,3.0,1156,313,806,394,907,9,20,187,618,69,112,57,76,233,686,19,32,61,88,0.0,4.0,1.0,676.0,211.0,547.0,263.0,605.0,6.0,22.0,131.0,437.0,24.0,46.0,56.0,64.0,191.0,514.0,12.0,22.0,8.0,11.0,0.98
Johnny Eduardo,67.0,135.0,71.0,Orthodox,8,3,0,5,0,4149,2.0,2.0,0.0,115,204,514,218,529,1,5,102,371,23,40,79,103,184,491,9,10,11,13,0.0,4.0,0.0,695.0,223.0,603.0,318.0,703.0,7.0,17.0,150.0,491.0,35.0,58.0,38.0,54.0,140.0,503.0,18.0,18.0,65.0,82.0,0.21
Johnny Munoz,69.0,135.0,71.0,Orthodox,6,2,0,4,0,4123,0.0,8.0,0.0,1214,168,458,364,704,11,43,92,352,53,71,23,35,125,399,26,37,17,22,2.0,0.0,1.0,1168.0,183.0,411.0,498.0,773.0,6.0,11.0,113.0,320.0,48.0,59.0,22.0,32.0,100.0,307.0,28.0,33.0,55.0,71.0,0.46
Johnny Rees,72.0,170.0,72.0,Orthodox,2,0,0,2,0,785,0.0,0.0,0.0,396,43,67,59,84,1,4,21,40,16,19,6,8,6,18,27,35,10,14,0.0,3.0,0.0,301.0,11.0,21.0,47.0,59.0,3.0,6.0,5.0,11.0,2.0,4.0,4.0,6.0,3.0,10.0,5.0,8.0,3.0,3.0,0.0
Johnny Rhodes,72.0,210.0,72.0,Orthodox,3,2,0,1,0,987,1.0,1.0,0.0,0,28,55,99,133,1,1,23,48,1,1,4,6,8,16,2,3,18,36,0.0,1.0,0.0,0.0,13.0,24.0,107.0,125.0,0.0,0.0,5.0,10.0,4.0,6.0,4.0,8.0,8.0,19.0,4.0,4.0,1.0,1.0,1.2
Johnny Walker,78.0,205.0,82.0,Orthodox,14,7,0,6,1,5149,4.0,3.0,3.0,404,309,611,394,713,2,2,144,372,33,65,132,174,224,505,25,29,60,77,7.0,0.0,1.0,1097.0,262.0,498.0,374.0,622.0,9.0,18.0,141.0,324.0,53.0,79.0,68.0,95.0,188.0,400.0,20.0,29.0,54.0,69.0,0.44
Johny Hendricks,69.0,185.0,69.0,Southpaw,21,13,0,8,0,14962,6.0,6.0,0.0,4818,885,1938,1355,2446,61,122,584,1577,77,105,224,256,605,1542,208,297,72,99,2.0,4.0,0.0,1288.0,979.0,2100.0,1338.0,2476.0,13.0,40.0,620.0,1627.0,256.0,349.0,103.0,124.0,720.0,1736.0,189.0,286.0,70.0,78.0,0.22
Jon Delos Reyes,66.0,125.0,67.0,Orthodox,4,1,0,3,0,1406,2.0,3.0,1.0,508,70,182,90,204,5,6,47,154,15,19,8,9,33,116,22,30,15,36,0.0,3.0,1.0,415.0,97.0,201.0,129.0,237.0,4.0,9.0,70.0,170.0,18.0,21.0,9.0,10.0,56.0,139.0,27.0,41.0,14.0,21.0,0.53
Jon Fitch,72.0,170.0,74.0,Orthodox,18,14,0,4,0,14338,2.0,14.0,3.0,7703,630,1225,2185,2925,58,106,414,945,129,169,87,111,186,540,136,231,308,454,4.0,28.0,5.0,3302.0,371.0,801.0,676.0,1135.0,26.0,59.0,211.0,604.0,69.0,96.0,91.0,101.0,171.0,517.0,125.0,177.0,75.0,107.0,0.48
Jon Hess,79.0,295.0,72.0,Orthodox,1,1,0,0,0,83,0.0,0.0,0.0,0,17,28,30,41,0,0,7,17,10,11,0,0,6,14,6,9,5,5,0.0,0.0,1.0,0.0,2.0,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9
Jon Jones,76.0,248.0,84.0,Orthodox,23,21,0,1,1,20539,5.0,11.0,0.0,4839,1468,2536,1843,2945,44,97,689,1504,359,476,420,556,958,1848,248,343,262,345,0.0,1.0,0.0,390.0,761.0,2133.0,923.0,2313.0,2.0,40.0,361.0,1498.0,210.0,359.0,190.0,276.0,605.0,1838.0,150.0,284.0,6.0,11.0,4.2
Jon Madsen,72.0,240.0,72.0,Orthodox,5,4,0,1,0,3408,0.0,0.0,0.0,637,140,341,228,437,5,7,100,293,18,23,22,25,80,260,34,41,26,40,0.0,1.0,0.0,233.0,67.0,360.0,95.0,394.0,3.0,10.0,30.0,309.0,23.0,37.0,14.0,14.0,47.0,328.0,20.0,32.0,0.0,0.0,2.0
Jon Manley,73.0,170.0,72.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,327,17,85,35,112,1,13,12,73,2,7,3,5,12,77,5,8,0,0,0.0,0.0,1.0,308.0,65.0,120.0,97.0,158.0,4.0,5.0,42.0,93.0,15.0,19.0,8.0,8.0,33.0,69.0,22.0,33.0,10.0,18.0,0.0
Jon Olav Einemo,78.0,253.0,72.0,Orthodox,2,0,0,2,0,1399,0.0,0.0,1.0,117,65,113,121,172,1,4,46,92,13,15,6,6,40,79,23,28,2,6,1.0,0.0,0.0,692.0,76.0,133.0,118.0,177.0,7.0,11.0,49.0,101.0,16.0,18.0,11.0,14.0,39.0,77.0,13.0,23.0,24.0,33.0,0.0
Jon Tuck,71.0,155.0,73.0,Orthodox,9,4,0,5,0,6475,2.0,7.0,1.0,1128,324,809,500,1004,3,9,182,630,82,108,60,71,259,703,30,51,35,55,0.0,1.0,0.0,1225.0,404.0,1028.0,573.0,1220.0,10.0,20.0,270.0,826.0,89.0,136.0,45.0,66.0,302.0,885.0,50.0,71.0,52.0,72.0,0.77
Jonathan Brookins,72.0,145.0,74.0,Southpaw,5,2,0,3,0,2609,0.0,1.0,0.0,1206,126,282,157,318,6,38,98,237,23,37,5,8,54,169,40,71,32,42,1.0,2.0,1.0,236.0,154.0,337.0,217.0,402.0,1.0,5.0,100.0,275.0,24.0,31.0,30.0,31.0,94.0,243.0,56.0,85.0,4.0,9.0,0.55
